WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
23233,20120101,53,12,CLR, ,10, , , ,49, ,9.4, ,45, ,7.3, ,41, ,5, ,74, ,20, ,90, , , ,30.02, ,8, ,6, ,30.12, ,AA, , , ,30.1, 
23233,20120101,153,12,CLR, ,10, , , ,47, ,8.3, ,44, ,6.7, ,41, ,5, ,80, ,18, ,80, , , ,30.03, , , , , ,30.13, ,AA, , , ,30.11, 
23233,20120101,253,12,CLR, ,10, , , ,48, ,8.9, ,45, ,7, ,41, ,5, ,77, ,21, ,90, , , ,30.02, , , , , ,30.13, ,AA, , , ,30.1, 
23233,20120101,353,12,CLR, ,10, , , ,48, ,8.9, ,44, ,6.8, ,40, ,4.4, ,74, ,23, ,90, , , ,30, ,8, ,4, ,30.11, ,AA, , , ,30.08, 
23233,20120101,453,12,CLR, ,9, , , ,47, ,8.3, ,44, ,6.5, ,40, ,4.4, ,77, ,20, ,90, ,29, ,30.01, , , , , ,30.12, ,AA, , , ,30.09, 
23233,20120101,553,12,CLR, ,10, , , ,46, ,7.8, ,43, ,6.2, ,40, ,4.4, ,80, ,16, ,90, ,25, ,30.04, , , , , ,30.14, ,AA, , , ,30.12, 
23233,20120101,653,12,CLR, ,10, , , ,46, ,7.8, ,43, ,6, ,39, ,3.9, ,77, ,18, ,80, , , ,30.06, ,3, ,18, ,30.16, ,AA, , , ,30.14, 
23233,20120101,753,12,CLR, ,10, , , ,48, ,8.9, ,44, ,6.5, ,39, ,3.9, ,71, ,17, ,90, , , ,30.07, , , , , ,30.17, ,AA, , , ,30.15, 
23233,20120101,853,12,CLR, ,10, , , ,50, ,10, ,45, ,7.1, ,39, ,3.9, ,66, ,17, ,100, , , ,30.08, , , , , ,30.19, ,AA, , , ,30.16, 
23233,20120101,953,12,CLR, ,10, , , ,54, ,12.2, ,47, ,8.5, ,40, ,4.4, ,59, ,16, ,90, , , ,30.1, ,3, ,13, ,30.2, ,AA, , , ,30.18, 
23233,20120101,1053,12,CLR, ,10, , , ,60, ,15.6, ,51, ,10.3, ,41, ,5, ,50, ,20, ,100, , , ,30.07, , , , , ,30.18, ,AA, , , ,30.15, 
23233,20120101,1153,12,CLR, ,10, , , ,67, ,19.4, ,54, ,12, ,41, ,5, ,39, ,11, ,90, , , ,30.04, , , , , ,30.15, ,AA, , , ,30.12, 
23233,20120101,1253,12,CLR, ,10, , , ,71, ,21.7, ,56, ,13.2, ,42, ,5.6, ,35, ,8, ,70, , , ,30.01, ,8, ,28, ,30.12, ,AA, , , ,30.09, 
23233,20120101,1353,12,CLR, ,10, , , ,75, ,23.9, ,57, ,13.8, ,41, ,5, ,30, ,6, ,60, , , ,30, , , , , ,30.11, ,AA, , , ,30.08, 
23233,20120101,1453,12,CLR, ,10, , , ,73, ,22.8, ,56, ,13.4, ,41, ,5, ,32, ,10, ,260, , , ,30, , , , , ,30.11, ,AA, , , ,30.08, 
23233,20120101,1553,12,CLR, ,10, , , ,69, ,20.6, ,54, ,12, ,39, ,3.9, ,34, ,8, ,290, , , ,30.01, ,5, ,2, ,30.11, ,AA, , , ,30.09, 
23233,20120101,1653,12,CLR, ,10, , , ,64, ,17.8, ,52, ,11, ,40, ,4.4, ,42, ,6, ,260, , , ,30.01, , , , , ,30.11, ,AA, , , ,30.09, 
23233,20120101,1753,12,CLR, ,10, , , ,60, ,15.6, ,51, ,10.7, ,43, ,6.1, ,54, ,0, ,0, , , ,30.03, , , , , ,30.13, ,AA, , , ,30.11, 
23233,20120101,1853,12,CLR, ,10, , , ,53, ,11.7, ,47, ,8.2, ,40, ,4.4, ,62, ,0, ,0, , , ,30.04, ,3, ,12, ,30.15, ,AA, , , ,30.12, 
23233,20120101,1953,12,CLR, ,10, , , ,50, ,10, ,45, ,7.1, ,39, ,3.9, ,66, ,0, ,0, , , ,30.05, , , , , ,30.16, ,AA, , , ,30.13, 
23233,20120101,2053,12,CLR, ,10, , , ,51, ,10.6, ,45, ,7.4, ,39, ,3.9, ,64, ,0, ,0, , , ,30.07, , , , , ,30.18, ,AA, , , ,30.15, 
23233,20120101,2136,12,FEW002, ,2, ,HZ, ,50, ,10, ,48, ,8.6, ,45, ,7, ,83, ,5, ,250, , , ,30.08, , , , , ,M, ,SP, , , ,30.16, 
23233,20120101,2139,12,VV, ,1, , , ,50, ,10, ,M, ,M, ,45, ,7, ,M, ,3, ,250, , , ,M, , , , , ,M, ,SP, , , ,30.16, 
23233,20120101,2146,12,VV, ,0.25, , , ,50, ,10, ,M, ,M, ,46, ,8, ,M, ,3, ,220, , , ,M, , , , , ,M, ,SP, , , ,30.16, 
23233,20120101,2153,12,VV, ,0.25, , , ,52, ,11, ,M, ,M, ,46, ,8, ,M, ,0, ,0, , , ,M, ,1, ,13, ,30.19, ,AA, , , ,30.16, 
23233,20120101,2253,12,VV, ,0.25, , , ,50, ,10, ,M, ,M, ,48, ,9, ,M, ,7, ,280, , , ,M, , , , , ,30.21, ,AA, , , ,30.18, 
23233,20120101,2319,12,VV, ,0.5, , , ,52, ,11, ,M, ,M, ,48, ,9, ,M, ,6, ,300, , , ,M, , , , , ,M, ,SP, , , ,30.2, 
23233,20120101,2332,12,OVC002, ,1.5, ,BR, ,52, ,11, ,51, ,10.5, ,50, ,10, ,93, ,5, ,300, , , ,30.12, , , , , ,M, ,SP, , , ,30.2, 
23233,20120101,2340,12,OVC002, ,3, ,BR, ,52, ,11, ,51, ,10.5, ,50, ,10, ,93, ,7, ,320, , , ,30.12, , , , , ,M, ,SP, , , ,30.2, 
