WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
23233,20120201,1,12,BKN014, ,10, , , ,50, ,10, ,48, ,8.6, ,45, ,7, ,83, ,5, ,90, , , ,30.13, , , , , ,M, ,SP, , , ,30.21, 
23233,20120201,53,12,BKN012, ,10, , , ,50, ,10, ,47, ,8.3, ,44, ,6.7, ,80, ,5, ,100, , , ,30.13, ,8, ,3, ,30.24, ,AA, , , ,30.21, 
23233,20120201,106,12,SCT012, ,10, , , ,48, ,9, ,46, ,7.5, ,43, ,6, ,83, ,6, ,90, , , ,30.13, , , , , ,M, ,SP, , , ,30.21, 
23233,20120201,153,12,CLR, ,10, , , ,48, ,8.9, ,46, ,7.8, ,44, ,6.7, ,86, ,7, ,90, , , ,30.13, , , , , ,30.23, ,AA, , , ,30.21, 
23233,20120201,228,12,BKN011, ,10, , , ,48, ,9, ,47, ,8, ,45, ,7, ,89, ,5, ,290, , , ,30.15, , , , , ,M, ,SP, , , ,30.23, 
23233,20120201,253,12,OVC011, ,10, , , ,48, ,8.9, ,46, ,7.8, ,44, ,6.7, ,86, ,0, ,0, , , ,30.13, , , , , ,30.24, ,AA, , , ,30.21, 
23233,20120201,300,12,OVC009, ,10, , , ,46, ,8, ,46, ,7.5, ,45, ,7, ,96, ,3, ,340, , , ,30.14, , , , , ,M, ,SP, , , ,30.22, 
23233,20120201,353,12,OVC009, ,10, , , ,49, ,9.4, ,47, ,8.3, ,45, ,7.2, ,86, ,3, ,290, , , ,30.15, ,3, ,6, ,30.26, ,AA, , , ,30.23, 
23233,20120201,428,12,OVC013, ,10, , , ,46, ,8, ,45, ,6.9, ,43, ,6, ,89, ,3, ,190, , , ,30.15, , , , , ,M, ,SP, , , ,30.23, 
23233,20120201,451,12,OVC015, ,10, , , ,46, ,8, ,46, ,7.5, ,45, ,7, ,96, ,0, ,0, , , ,30.15, , , , , ,M, ,SP, , , ,30.23, 
23233,20120201,453,12,OVC015, ,10, , , ,47, ,8.3, ,45, ,7.2, ,43, ,6.1, ,86, ,0, ,0, , , ,30.15, , , , , ,30.26, ,AA, , , ,30.23, 
23233,20120201,553,12,OVC015, ,10, , , ,48, ,8.9, ,46, ,7.5, ,43, ,6.1, ,83, ,0, ,0, , , ,30.18, , , , , ,30.28, ,AA, , , ,30.26, 
23233,20120201,621,12,SCT015, ,10, , , ,46, ,8, ,45, ,6.9, ,43, ,6, ,89, ,0, ,0, , , ,30.17, , , , , ,M, ,SP, , , ,30.25, 
23233,20120201,653,12,CLR, ,10, , , ,46, ,7.8, ,44, ,6.4, ,41, ,5, ,83, ,3, ,170, , , ,30.17, ,0, ,7, ,30.28, ,AA, , , ,30.25, 
23233,20120201,753,12,CLR, ,6, ,BR, ,46, ,7.8, ,45, ,6.9, ,43, ,6.1, ,89, ,6, ,40, , , ,30.18, , , , , ,30.29, ,AA, , , ,30.26, 
23233,20120201,848,12,BKN029, ,10, , , ,50, ,10, ,47, ,8.1, ,43, ,6, ,77, ,9, ,110, , , ,30.19, , , , , ,M, ,SP, , , ,30.27, 
23233,20120201,851,12,SCT029, ,10, , , ,50, ,10, ,48, ,8.6, ,45, ,7, ,83, ,8, ,120, , , ,30.19, , , , , ,M, ,SP, , , ,30.27, 
23233,20120201,853,12,SCT029, ,10, , , ,50, ,10, ,47, ,8.3, ,44, ,6.7, ,80, ,8, ,120, , , ,30.19, , , , , ,30.3, ,AA, , , ,30.27, 
23233,20120201,905,12,BKN029, ,10, , , ,50, ,10, ,48, ,8.6, ,45, ,7, ,83, ,8, ,120, , , ,30.19, , , , , ,M, ,SP, , , ,30.27, 
23233,20120201,913,12,FEW029, ,10, , , ,52, ,11, ,49, ,9.1, ,45, ,7, ,77, ,9, ,120, , , ,30.19, , , , , ,M, ,SP, , , ,30.27, 
23233,20120201,953,12,CLR, ,10, , , ,53, ,11.7, ,49, ,9.4, ,45, ,7.2, ,74, ,6, ,120, , , ,30.2, ,1, ,4, ,30.3, ,AA, , , ,30.28, 
23233,20120201,1053,12,CLR, ,10, , , ,56, ,13.3, ,50, ,10.2, ,45, ,7.2, ,67, ,0, ,0, , , ,30.2, , , , , ,30.31, ,AA, , , ,30.28, 
23233,20120201,1153,12,CLR, ,10, , , ,59, ,15, ,52, ,11.2, ,46, ,7.8, ,62, ,9, ,260, , , ,30.18, , , , , ,30.29, ,AA, , , ,30.26, 
23233,20120201,1231,12,BKN028, ,10, , , ,61, ,16, ,53, ,11.7, ,46, ,8, ,58, ,9, ,270, , , ,30.17, , , , , ,M, ,SP, , , ,30.25, 
