WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
23233,20120301,53,12,FEW060, ,9, , , ,44, ,6.7, ,42, ,5.6, ,40, ,4.4, ,86, ,0, ,0, , , ,30.21, ,1, ,7, ,30.32, ,AA, , , ,30.29, 
23233,20120301,153,12,CLR, ,10, , , ,44, ,6.7, ,42, ,5.6, ,40, ,4.4, ,86, ,3, ,320, , , ,30.21, , , , , ,30.31, ,AA, , , ,30.29, 
23233,20120301,253,12,CLR, ,10, , , ,44, ,6.7, ,42, ,5.6, ,40, ,4.4, ,86, ,3, ,250, , , ,30.19, , , , , ,30.29, ,AA, , , ,30.27, 
23233,20120301,353,12,CLR, ,10, , , ,43, ,6.1, ,41, ,4.8, ,38, ,3.3, ,83, ,0, ,0, , , ,30.18, ,8, ,12, ,30.28, ,AA, , , ,30.26, 
23233,20120301,453,12,BKN039, ,10, , , ,40, ,4.4, ,39, ,3.7, ,37, ,2.8, ,89, ,0, ,0, , , ,30.19, , , , , ,30.29, ,AA, , , ,30.27, 
23233,20120301,553,12,FEW025 OVC041, ,10, , , ,41, ,5, ,39, ,4, ,37, ,2.8, ,86, ,3, ,110, , , ,30.21, , , , , ,30.32, ,AA, , , ,30.29, 
23233,20120301,626,12,BKN021 BKN028 OVC042, ,10, , , ,43, ,6, ,41, ,5.1, ,39, ,4, ,86, ,0, ,0, , , ,30.21, , , , , ,M, ,SP, , , ,30.29, 
23233,20120301,646,12,SCT021 SCT031 BKN045, ,10, , , ,43, ,6, ,41, ,5.1, ,39, ,4, ,86, ,0, ,0, , , ,30.22, , , , , ,M, ,SP, , , ,30.3, 
23233,20120301,653,12,FEW021 BKN045, ,9, , , ,42, ,5.6, ,41, ,4.8, ,39, ,3.9, ,89, ,3, ,130, , , ,30.22, ,3, ,14, ,30.33, ,AA, ,  T, ,30.3, 
23233,20120301,753,12,FEW017, ,9, , , ,42, ,5.6, ,41, ,4.8, ,39, ,3.9, ,89, ,6, ,130, , , ,30.24, , , , , ,30.35, ,AA, , , ,30.32, 
23233,20120301,834,12,SCT021 BKN029 OVC037, ,10, , , ,45, ,7, ,42, ,5.7, ,39, ,4, ,80, ,7, ,120, , , ,30.24, , , , , ,M, ,SP, , , ,30.32, 
23233,20120301,853,12,OVC, ,10, , , ,46, ,8, ,M, ,M, ,41, ,5, ,M, ,8, ,120, , , ,M, , , , , ,30.35, ,AA, , , ,30.33, 
23233,20120301,918,12,SCT021 SCT034 BKN070, ,10, , , ,48, ,9, ,46, ,7.5, ,43, ,6, ,83, ,9, ,110, , , ,30.25, , , , , ,M, ,SP, , , ,30.33, 
23233,20120301,953,12,BKN, ,10, , , ,50, ,10, ,M, ,M, ,43, ,6, ,M, ,9, ,110, , , ,M, ,0, ,9, ,30.35, ,AA, , , ,30.32, 
23233,20120301,1053,12,FEW026 SCT035 OVC070, ,10, , , ,55, ,12.8, ,50, ,9.9, ,45, ,7.2, ,69, ,6, ,130, , , ,30.23, , , , , ,30.34, ,AA, , , ,30.31, 
23233,20120301,1153,12,SCT028 BKN034 OVC045, ,10, ,#NAME?, ,56, ,13.3, ,49, ,9.5, ,42, ,5.6, ,60, ,9, ,260, ,22, ,30.22, , , , , ,30.33, ,AA, ,  T, ,30.3, 
23233,20120301,1253,12,FEW024 BKN029 OVC035, ,10, , , ,56, ,13.3, ,50, ,10, ,44, ,6.7, ,64, ,14, ,260, , , ,30.2, ,8, ,14, ,30.31, ,AA, ,  T, ,30.28, 
23233,20120301,1353,12,FEW020 BKN032 OVC039, ,10, , , ,57, ,13.9, ,51, ,10.7, ,46, ,7.8, ,67, ,16, ,250, ,23, ,30.18, , , , , ,30.28, ,AA, ,0.01, ,30.26, 
23233,20120301,1414,12,SCT022 BKN028 OVC034, ,10, , , ,57, ,14, ,51, ,10.5, ,45, ,7, ,64, ,16, ,260, ,25, ,30.17, , , , , ,M, ,SP, , , ,30.25, 
23233,20120301,1453,12,BKN022 BKN029 OVC055, ,10, , , ,57, ,13.9, ,51, ,10.7, ,46, ,7.8, ,67, ,17, ,260, ,24, ,30.16, , , , , ,30.27, ,AA, , , ,30.24, 
23233,20120301,1553,12,BKN020 BKN028 OVC046, ,10, , , ,56, ,13.3, ,51, ,10.5, ,46, ,7.8, ,69, ,18, ,260, , , ,30.15, ,6, ,17, ,30.26, ,AA, , , ,30.23, 
23233,20120301,1653,12,BKN016 OVC021, ,10, , , ,55, ,12.8, ,51, ,10.5, ,47, ,8.3, ,75, ,15, ,250, ,22, ,30.14, , , , , ,30.25, ,AA, ,  T, ,30.22, 
23233,20120301,1724,12,BKN014 BKN020 OVC050, ,10, , , ,54, ,12, ,50, ,9.9, ,46, ,8, ,75, ,11, ,260, , , ,30.14, , , , , ,M, ,SP, , , ,30.22, 
23233,20120301,1741,12,SCT014 OVC048, ,10, , , ,54, ,12, ,50, ,9.9, ,46, ,8, ,75, ,13, ,260, , , ,30.14, , , , , ,M, ,SP, , , ,30.22, 
23233,20120301,1751,12,BKN014 OVC046, ,10, , , ,54, ,12, ,50, ,9.9, ,46, ,8, ,75, ,9, ,260, , , ,30.15, , , , , ,M, ,SP, , , ,30.23, 
23233,20120301,1753,12,BKN014 OVC046, ,10, , , ,53, ,11.7, ,49, ,9.7, ,46, ,7.8, ,77, ,13, ,250, , , ,30.14, , , , , ,30.25, ,AA, , , ,30.22, 
23233,20120301,1803,12,SCT012 BKN046, ,10, , , ,54, ,12, ,50, ,9.9, ,46, ,8, ,75, ,13, ,250, , , ,30.14, , , , , ,M, ,SP, , , ,30.22, 
23233,20120301,1823,12,BKN012 BKN044, ,10, , , ,54, ,12, ,50, ,9.9, ,46, ,8, ,75, ,13, ,260, , , ,30.15, , , , , ,M, ,SP, , , ,30.23, 
23233,20120301,1853,12,BKN010, ,10, , , ,52, ,11.1, ,49, ,9.4, ,46, ,7.8, ,80, ,14, ,240, ,18, ,30.15, ,5, ,2, ,30.25, ,AA, , , ,30.23, 
23233,20120301,1905,12,SCT010, ,10, , , ,52, ,11, ,49, ,9.4, ,46, ,8, ,80, ,10, ,260, , , ,30.15, , , , , ,M, ,SP, , , ,30.23, 
23233,20120301,1953,12,CLR, ,10, , , ,50, ,10, ,48, ,8.6, ,45, ,7.2, ,83, ,5, ,270, , , ,30.15, , , , , ,30.26, ,AA, , , ,30.23, 
23233,20120301,2053,12,CLR, ,10, , , ,49, ,9.4, ,47, ,8.1, ,44, ,6.7, ,83, ,3, ,260, , , ,30.17, , , , , ,30.27, ,AA, , , ,30.25, 
23233,20120301,2128,12,BKN020, ,10, , , ,48, ,9, ,46, ,7.5, ,43, ,6, ,83, ,3, ,240, , , ,30.18, , , , , ,M, ,SP, , , ,30.26, 
