WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
23233,20120401,22,12,BKN028 BKN036, ,9, , , ,50, ,10, ,47, ,8.1, ,43, ,6, ,77, ,20, ,280, ,26, ,30.02, , , , , ,M, ,SP, , , ,30.1, 
23233,20120401,29,12,FEW026 BKN034, ,10, , , ,50, ,10, ,47, ,8.1, ,43, ,6, ,77, ,14, ,270, ,26, ,30.02, , , , , ,M, ,SP, , , ,30.1, 
23233,20120401,53,12,SCT045 BKN050 OVC090, ,9, , , ,50, ,10, ,47, ,8.3, ,44, ,6.7, ,80, ,16, ,250, ,23, ,30.03, ,3, ,10, ,30.13, ,AA, ,  T, ,30.11, 
23233,20120401,153,12,FEW024 SCT043 OVC055, ,8, , , ,50, ,10, ,47, ,8.1, ,43, ,6.1, ,77, ,10, ,270, , , ,30.04, , , , , ,30.15, ,AA, , , ,30.12, 
23233,20120401,253,12,SCT038 BKN055, ,9, , , ,50, ,10, ,46, ,7.8, ,42, ,5.6, ,74, ,9, ,270, , , ,30.05, , , , , ,30.16, ,AA, , , ,30.13, 
23233,20120401,353,12,FEW046 SCT075, ,10, , , ,49, ,9.4, ,45, ,7.3, ,41, ,5, ,74, ,7, ,270, , , ,30.07, ,3, ,15, ,30.18, ,AA, , , ,30.15, 
23233,20120401,453,12,BKN038, ,9, , , ,49, ,9.4, ,45, ,7.1, ,40, ,4.4, ,71, ,7, ,260, , , ,30.1, , , , , ,30.21, ,AA, , , ,30.18, 
23233,20120401,553,12,SCT045, ,9, , , ,49, ,9.4, ,44, ,6.6, ,38, ,3.3, ,66, ,9, ,260, , , ,30.12, , , , , ,30.22, ,AA, , , ,30.2, 
23233,20120401,653,12,BKN037, ,8, , , ,50, ,10, ,45, ,7.1, ,39, ,3.9, ,66, ,8, ,280, , , ,30.15, ,3, ,25, ,30.25, ,AA, , , ,30.23, 
23233,20120401,753,12,CLR, ,9, , , ,52, ,11.1, ,46, ,7.7, ,39, ,3.9, ,61, ,9, ,270, , , ,30.16, , , , , ,30.27, ,AA, , , ,30.24, 
