WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
23233,20120501,53,12,OVC010, ,10, , , ,54, ,12.2, ,51, ,10.5, ,48, ,8.9, ,80, ,10, ,230, , , ,29.89, ,8, ,7, ,29.99, ,AA, , , ,29.97, 
23233,20120501,153,12,OVC010, ,10, , , ,54, ,12.2, ,50, ,10.2, ,47, ,8.3, ,77, ,9, ,230, , , ,29.88, , , , , ,29.99, ,AA, , , ,29.96, 
23233,20120501,253,12,OVC010, ,10, , , ,53, ,11.7, ,50, ,9.9, ,47, ,8.3, ,80, ,13, ,220, ,20, ,29.87, , , , , ,29.97, ,AA, , , ,29.95, 
23233,20120501,353,12,OVC010, ,10, , , ,53, ,11.7, ,50, ,9.9, ,47, ,8.3, ,80, ,11, ,230, , , ,29.87, ,5, ,5, ,29.98, ,AA, , , ,29.95, 
23233,20120501,453,12,OVC012, ,10, , , ,53, ,11.7, ,49, ,9.7, ,46, ,7.8, ,77, ,9, ,260, , , ,29.87, , , , , ,29.97, ,AA, , , ,29.95, 
23233,20120501,553,12,OVC012, ,10, , , ,53, ,11.7, ,49, ,9.7, ,46, ,7.8, ,77, ,9, ,260, , , ,29.88, , , , , ,29.99, ,AA, , , ,29.96, 
23233,20120501,653,12,OVC014, ,10, , , ,54, ,12.2, ,50, ,9.9, ,46, ,7.8, ,75, ,7, ,240, , , ,29.89, ,3, ,5, ,29.99, ,AA, , , ,29.97, 
23233,20120501,753,12,OVC014, ,10, , , ,54, ,12.2, ,49, ,9.7, ,45, ,7.2, ,72, ,11, ,260, , , ,29.89, , , , , ,30, ,AA, , , ,29.97, 
23233,20120501,811,12,OVC016, ,10, , , ,54, ,12, ,49, ,9.7, ,45, ,7, ,72, ,9, ,250, , , ,29.89, , , , , ,M, ,SP, , , ,29.97, 
23233,20120501,853,12,OVC016, ,10, , , ,55, ,12.8, ,50, ,9.9, ,45, ,7.2, ,69, ,11, ,270, , , ,29.9, , , , , ,30, ,AA, , , ,29.98, 
23233,20120501,953,12,OVC018, ,10, , , ,56, ,13.3, ,51, ,10.4, ,46, ,7.8, ,69, ,9, ,280, , , ,29.9, ,3, ,5, ,30.01, ,AA, , , ,29.98, 
23233,20120501,1034,12,SCT020, ,10, , , ,59, ,15, ,52, ,11.2, ,46, ,8, ,62, ,13, ,280, , , ,29.89, , , , , ,M, ,SP, , , ,29.97, 
23233,20120501,1053,12,FEW020, ,10, , , ,60, ,15.6, ,53, ,11.5, ,46, ,7.8, ,60, ,15, ,270, ,24, ,29.89, , , , , ,29.99, ,AA, , , ,29.97, 
23233,20120501,1153,12,CLR, ,10, , , ,61, ,16.1, ,53, ,11.7, ,46, ,7.8, ,58, ,14, ,240, ,21, ,29.88, , , , , ,29.99, ,AA, , , ,29.96, 
23233,20120501,1253,12,CLR, ,10, , , ,60, ,15.6, ,52, ,11.2, ,45, ,7.2, ,58, ,16, ,270, , , ,29.89, ,5, ,5, ,29.99, ,AA, , , ,29.97, 
23233,20120501,1353,12,CLR, ,10, , , ,60, ,15.6, ,52, ,11, ,44, ,6.7, ,56, ,15, ,260, ,23, ,29.89, , , , , ,30, ,AA, , , ,29.97, 
23233,20120501,1453,12,CLR, ,10, , , ,59, ,15, ,51, ,10.7, ,44, ,6.7, ,58, ,16, ,270, , , ,29.88, , , , , ,29.98, ,AA, , , ,29.96, 
23233,20120501,1553,12,CLR, ,9, , , ,59, ,15, ,51, ,10.7, ,44, ,6.7, ,58, ,18, ,230, , , ,29.87, ,8, ,5, ,29.98, ,AA, , , ,29.95, 
23233,20120501,1653,12,CLR, ,8, , , ,58, ,14.4, ,51, ,10.5, ,44, ,6.7, ,60, ,18, ,240, ,23, ,29.87, , , , , ,29.98, ,AA, , , ,29.95, 
23233,20120501,1753,12,SCT024, ,8, , , ,56, ,13.3, ,50, ,9.9, ,44, ,6.7, ,64, ,13, ,240, , , ,29.88, , , , , ,29.98, ,AA, , , ,29.96, 
23233,20120501,1853,12,SCT022, ,8, , , ,53, ,11.7, ,48, ,8.9, ,43, ,6.1, ,69, ,13, ,230, , , ,29.88, ,3, ,3, ,29.98, ,AA, , , ,29.96, 
23233,20120501,1953,12,FEW023, ,9, , , ,53, ,11.7, ,48, ,8.9, ,43, ,6.1, ,69, ,13, ,230, , , ,29.88, , , , , ,29.99, ,AA, , , ,29.96, 
23233,20120501,2022,12,BKN023, ,9, , , ,54, ,12, ,49, ,9.2, ,43, ,6, ,67, ,14, ,220, ,18, ,29.89, , , , , ,M, ,SP, , , ,29.97, 
23233,20120501,2053,12,OVC021, ,10, , , ,52, ,11.1, ,48, ,8.6, ,43, ,6.1, ,72, ,11, ,230, , , ,29.89, , , , , ,30, ,AA, , , ,29.97, 
23233,20120501,2143,12,SCT021, ,9, , , ,52, ,11, ,48, ,8.6, ,43, ,6, ,72, ,11, ,220, , , ,29.89, , , , , ,M, ,SP, , , ,29.97, 
23233,20120501,2153,12,FEW017, ,9, , , ,51, ,10.6, ,47, ,8.3, ,43, ,6.1, ,74, ,10, ,230, , , ,29.88, ,0, ,2, ,29.99, ,AA, , , ,29.96, 
23233,20120501,2224,12,BKN019, ,10, , , ,52, ,11, ,48, ,8.6, ,43, ,6, ,72, ,8, ,230, , , ,29.89, , , , , ,M, ,SP, , , ,29.97, 
23233,20120501,2253,12,OVC017, ,10, , , ,52, ,11.1, ,48, ,8.6, ,43, ,6.1, ,72, ,10, ,230, , , ,29.89, , , , , ,30, ,AA, , , ,29.97, 
23233,20120501,2353,12,OVC017, ,9, , , ,52, ,11.1, ,48, ,8.6, ,43, ,6.1, ,72, ,10, ,230, , , ,29.9, , , , , ,30, ,AA, , , ,29.98, 
23233,20120502,41,12,FEW016 SCT021, ,9, , , ,52, ,11, ,48, ,8.6, ,43, ,6, ,72, ,13, ,230, , , ,29.89, , , , , ,M, ,SP, , , ,29.97, 
