WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
23233,20110601,53,12,CLR, ,10, , , ,54, ,12.2, ,51, ,10.5, ,48, ,8.9, ,80, ,6, ,270, , , ,30.01, ,0, ,0, ,30.12, ,AA, , , ,30.09, 
23233,20110601,153,12,OVC043, ,10, , , ,55, ,12.8, ,51, ,10.7, ,48, ,8.9, ,77, ,5, ,290, , , ,30.01, , , , , ,30.11, ,AA, , , ,30.09, 
23233,20110601,253,12,BKN037, ,10, , , ,55, ,12.8, ,51, ,10.5, ,47, ,8.3, ,75, ,3, ,250, , , ,30.01, , , , , ,30.11, ,AA, , , ,30.09, 
23233,20110601,353,12,BKN040, ,10, , , ,53, ,11.7, ,49, ,9.7, ,46, ,7.8, ,77, ,0, ,0, , , ,30, ,7, ,3, ,30.11, ,AA, , , ,30.08, 
23233,20110601,453,12,OVC044, ,10, , , ,54, ,12.2, ,50, ,9.9, ,46, ,7.8, ,75, ,0, ,0, , , ,30.01, , , , , ,30.11, ,AA, , , ,30.09, 
23233,20110601,553,12,FEW048, ,10, , , ,52, ,11.1, ,49, ,9.4, ,46, ,7.8, ,80, ,6, ,110, , , ,30.02, , , , , ,30.12, ,AA, , , ,30.1, 
23233,20110601,653,12,FEW039, ,10, , , ,56, ,13.3, ,52, ,11, ,48, ,8.9, ,75, ,6, ,140, , , ,30.03, ,3, ,10, ,30.14, ,AA, , , ,30.11, 
23233,20110601,753,12,CLR, ,10, , , ,58, ,14.4, ,52, ,11, ,46, ,7.8, ,65, ,3, ,VR , , , ,30.04, , , , , ,30.14, ,AA, , , ,30.12, 
23233,20110601,853,12,BKN041 OVC055, ,10, , , ,60, ,15.6, ,52, ,11.2, ,45, ,7.2, ,58, ,0, ,0, , , ,30.04, , , , , ,30.15, ,AA, , , ,30.12, 
23233,20110601,953,12,FEW039 BKN060, ,10, , , ,62, ,16.7, ,51, ,10.8, ,41, ,5, ,46, ,11, ,250, , , ,30.04, ,0, ,0, ,30.14, ,AA, , , ,30.12, 
