WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
23233,20110701,53,12,CLR, ,9, , , ,57, ,13.9, ,54, ,12.3, ,52, ,11.1, ,83, ,5, ,280, , , ,29.83, ,8, ,10, ,29.93, ,AA, , , ,29.91, 
23233,20110701,153,12,CLR, ,8, , , ,56, ,13.3, ,54, ,12.1, ,52, ,11.1, ,87, ,5, ,310, , , ,29.82, , , , , ,29.92, ,AA, , , ,29.9, 
23233,20110701,253,12,CLR, ,8, , , ,56, ,13.3, ,53, ,11.8, ,51, ,10.6, ,83, ,3, ,330, , , ,29.82, , , , , ,29.92, ,AA, , , ,29.9, 
23233,20110701,353,12,CLR, ,7, , , ,54, ,12.2, ,52, ,11.3, ,51, ,10.6, ,90, ,0, ,0, , , ,29.82, ,5, ,3, ,29.93, ,AA, , , ,29.9, 
23233,20110701,445,12,FEW004, ,2.5, ,BR, ,54, ,12, ,53, ,11.6, ,52, ,11, ,93, ,0, ,0, , , ,29.82, , , , , ,M, ,SP, , , ,29.9, 
23233,20110701,451,12,SCT004, ,1.25, ,BR, ,54, ,12, ,53, ,11.6, ,52, ,11, ,93, ,3, ,320, , , ,29.82, , , , , ,M, ,SP, , , ,29.9, 
23233,20110701,453,12,VV, ,0.75, , , ,54, ,12, ,M, ,M, ,52, ,11, ,M, ,0, ,0, , , ,M, , , , , ,29.92, ,AA, , , ,29.9, 
23233,20110701,502,12,BKN, ,0.25, , , ,52, ,11, ,M, ,M, ,52, ,11, ,M, ,0, ,0, , , ,M, , , , , ,M, ,SP, , , ,29.9, 
23233,20110701,529,12,VV, ,0.25, , , ,54, ,12, ,M, ,M, ,52, ,11, ,M, ,0, ,0, , , ,M, , , , , ,M, ,SP, , , ,29.9, 
23233,20110701,553,12,VV, ,0.25, , , ,54, ,12, ,M, ,M, ,52, ,11, ,M, ,0, ,0, , , ,M, , , , , ,29.93, ,AA, , , ,29.9, 
23233,20110701,634,12,VV, ,0.75, , , ,54, ,12, ,M, ,M, ,54, ,12, ,M, ,0, ,0, , , ,M, , , , , ,M, ,SP, , , ,29.9, 
23233,20110701,641,12,VV, ,1, , , ,54, ,12, ,M, ,M, ,54, ,12, ,M, ,0, ,0, , , ,M, , , , , ,M, ,SP, , , ,29.9, 
23233,20110701,647,12,SCT001, ,2, ,BR, ,54, ,12, ,54, ,12.2, ,54, ,12, ,100, ,0, ,0, , , ,29.82, , , , , ,M, ,SP, , , ,29.9, 
23233,20110701,651,12,SCT001, ,5, ,BR, ,54, ,12, ,54, ,12.2, ,54, ,12, ,100, ,0, ,0, , , ,29.82, , , , , ,M, ,SP, , , ,29.9, 
23233,20110701,653,12,FEW001, ,6, ,BR, ,54, ,12.2, ,54, ,12.2, ,54, ,12.2, ,100, ,0, ,0, , , ,29.82, ,3, ,2, ,29.93, ,AA, , , ,29.9, 
23233,20110701,753,12,CLR, ,10, , , ,62, ,16.7, ,58, ,14.4, ,55, ,12.8, ,78, ,0, ,0, , , ,29.82, , , , , ,29.93, ,AA, , , ,29.9, 
23233,20110701,853,12,CLR, ,10, , , ,67, ,19.4, ,60, ,15.3, ,54, ,12.2, ,63, ,0, ,0, , , ,29.8, , , , , ,29.91, ,AA, , , ,29.88, 
23233,20110701,953,12,CLR, ,10, , , ,74, ,23.3, ,62, ,16.8, ,54, ,12.2, ,50, ,5, ,320, , , ,29.8, ,8, ,9, ,29.9, ,AA, , , ,29.88, 
23233,20110701,1053,12,CLR, ,10, , , ,76, ,24.4, ,64, ,17.7, ,56, ,13.3, ,50, ,10, ,290, , , ,29.79, , , , , ,29.89, ,AA, , , ,29.87, 
