WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
23233,20110801,53,12,OVC015, ,10, , , ,60, ,15.6, ,56, ,13.1, ,52, ,11.1, ,75, ,3, ,330, , , ,29.92, ,8, ,3, ,30.02, ,AA, , , ,30, 
23233,20110801,153,12,OVC015, ,10, , , ,59, ,15, ,55, ,12.8, ,52, ,11.1, ,78, ,0, ,0, , , ,29.91, , , , , ,30.02, ,AA, , , ,29.99, 
23233,20110801,244,12,OVC013, ,10, , , ,57, ,14, ,54, ,12.3, ,52, ,11, ,83, ,6, ,30, , , ,29.91, , , , , ,M, ,SP, , , ,29.99, 
23233,20110801,253,12,OVC013, ,10, , , ,58, ,14.4, ,55, ,12.6, ,52, ,11.1, ,81, ,6, ,20, , , ,29.91, , , , , ,30.01, ,AA, , , ,29.99, 
23233,20110801,353,12,OVC013, ,10, , , ,57, ,13.9, ,54, ,12.3, ,52, ,11.1, ,83, ,6, ,30, , , ,29.92, ,5, ,0, ,30.02, ,AA, , , ,30, 
23233,20110801,453,12,OVC011, ,10, , , ,58, ,14.4, ,55, ,12.9, ,53, ,11.7, ,84, ,3, ,330, , , ,29.92, , , , , ,30.02, ,AA, , , ,30, 
23233,20110801,553,12,OVC011, ,10, , , ,58, ,14.4, ,55, ,12.6, ,52, ,11.1, ,81, ,3, ,340, , , ,29.93, , , , , ,30.03, ,AA, , , ,30.01, 
23233,20110801,653,12,OVC011, ,9, , , ,58, ,14.4, ,55, ,12.6, ,52, ,11.1, ,81, ,0, ,0, , , ,29.94, ,3, ,9, ,30.05, ,AA, , , ,30.02, 
23233,20110801,753,12,OVC011, ,9, , , ,58, ,14.4, ,55, ,12.6, ,52, ,11.1, ,81, ,0, ,0, , , ,29.96, , , , , ,30.06, ,AA, , , ,30.04, 
23233,20110801,853,12,OVC011, ,8, , , ,59, ,15, ,56, ,13.1, ,53, ,11.7, ,81, ,0, ,0, , , ,29.95, , , , , ,30.06, ,AA, , , ,30.03, 
23233,20110801,951,12,SCT013, ,9, , , ,64, ,18, ,58, ,14.6, ,54, ,12, ,70, ,3, ,VR , , , ,29.96, , , , , ,M, ,SP, , , ,30.04, 
23233,20110801,953,12,SCT015, ,9, , , ,66, ,18.9, ,59, ,15, ,54, ,12.2, ,65, ,5, ,VR , , , ,29.96, ,1, ,4, ,30.06, ,AA, , , ,30.04, 
23233,20110801,1053,12,CLR, ,10, , , ,67, ,19.4, ,60, ,15.3, ,54, ,12.2, ,63, ,8, ,260, , , ,29.95, , , , , ,30.06, ,AA, , , ,30.03, 
23233,20110801,1153,12,CLR, ,9, , , ,68, ,20, ,60, ,15.5, ,54, ,12.2, ,61, ,11, ,270, , , ,29.95, , , , , ,30.05, ,AA, , , ,30.03, 
23233,20110801,1253,12,CLR, ,10, , , ,69, ,20.6, ,60, ,15.7, ,54, ,12.2, ,59, ,14, ,270, ,22, ,29.94, ,8, ,7, ,30.04, ,AA, , , ,30.02, 
23233,20110801,1353,12,CLR, ,10, , , ,70, ,21.1, ,60, ,15.6, ,53, ,11.7, ,55, ,15, ,290, , , ,29.93, , , , , ,30.03, ,AA, , , ,30.01, 
23233,20110801,1453,12,CLR, ,10, , , ,70, ,21.1, ,60, ,15.6, ,53, ,11.7, ,55, ,14, ,290, , , ,29.92, , , , , ,30.02, ,AA, , , ,30, 
23233,20110801,1553,12,CLR, ,10, , , ,69, ,20.6, ,60, ,15.4, ,53, ,11.7, ,57, ,13, ,290, , , ,29.91, ,7, ,8, ,30.02, ,AA, , , ,29.99, 
23233,20110801,1653,12,CLR, ,10, , , ,68, ,20, ,59, ,14.9, ,52, ,11.1, ,57, ,11, ,280, , , ,29.9, , , , , ,30.01, ,AA, , , ,29.98, 
23233,20110801,1753,12,CLR, ,10, , , ,66, ,18.9, ,58, ,14.5, ,52, ,11.1, ,61, ,11, ,280, , , ,29.9, , , , , ,30.01, ,AA, , , ,29.98, 
23233,20110801,1853,12,CLR, ,10, , , ,63, ,17.2, ,57, ,13.8, ,52, ,11.1, ,68, ,9, ,290, , , ,29.91, ,5, ,2, ,30.01, ,AA, , , ,29.99, 
23233,20110801,1953,12,CLR, ,10, , , ,62, ,16.7, ,56, ,13.6, ,52, ,11.1, ,70, ,8, ,300, , , ,29.92, , , , , ,30.03, ,AA, , , ,30, 
23233,20110801,2053,12,CLR, ,10, , , ,61, ,16.1, ,57, ,13.6, ,53, ,11.7, ,75, ,5, ,300, , , ,29.94, , , , , ,30.04, ,AA, , , ,30.02, 
23233,20110801,2153,12,CLR, ,10, , , ,60, ,15.6, ,56, ,13.4, ,53, ,11.7, ,78, ,5, ,300, , , ,29.95, ,1, ,13, ,30.05, ,AA, , , ,30.03, 
23233,20110801,2253,12,CLR, ,10, , , ,59, ,15, ,55, ,12.8, ,52, ,11.1, ,78, ,0, ,0, , , ,29.94, , , , , ,30.04, ,AA, , , ,30.02, 
23233,20110801,2353,12,CLR, ,10, , , ,57, ,13.9, ,53, ,11.8, ,50, ,10, ,78, ,0, ,0, , , ,29.93, , , , , ,30.03, ,AA, , , ,30.01, 
