WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
23233,20110901,53,12,OVC007, ,8, , , ,58, ,14.4, ,55, ,12.9, ,53, ,11.7, ,84, ,0, ,0, , , ,29.75, ,5, ,2, ,29.85, ,AA, , , ,29.83, 
23233,20110901,153,12,OVC007, ,7, , , ,57, ,13.9, ,55, ,12.6, ,53, ,11.7, ,87, ,0, ,0, , , ,29.75, , , , , ,29.86, ,AA, , , ,29.83, 
23233,20110901,253,12,OVC007, ,6, ,BR, ,57, ,13.9, ,55, ,12.6, ,53, ,11.7, ,87, ,0, ,0, , , ,29.76, , , , , ,29.87, ,AA, , , ,29.84, 
23233,20110901,353,12,OVC007, ,7, , , ,56, ,13.3, ,54, ,12.1, ,52, ,11.1, ,87, ,5, ,100, , , ,29.75, ,0, ,2, ,29.86, ,AA, , , ,29.83, 
23233,20110901,453,12,OVC007, ,7, , , ,56, ,13.3, ,54, ,12.1, ,52, ,11.1, ,87, ,0, ,0, , , ,29.76, , , , , ,29.86, ,AA, , , ,29.84, 
23233,20110901,553,12,OVC005, ,5, ,BR, ,56, ,13.3, ,54, ,12.1, ,52, ,11.1, ,87, ,0, ,0, , , ,29.78, , , , , ,29.88, ,AA, , , ,29.86, 
23233,20110901,653,12,OVC005, ,4, ,BR, ,56, ,13.3, ,54, ,12.4, ,53, ,11.7, ,90, ,3, ,130, , , ,29.78, ,0, ,7, ,29.88, ,AA, , , ,29.86, 
23233,20110901,753,12,OVC007, ,6, ,BR, ,57, ,13.9, ,55, ,12.6, ,53, ,11.7, ,87, ,3, ,150, , , ,29.79, , , , , ,29.89, ,AA, , , ,29.87, 
23233,20110901,853,12,OVC007, ,6, ,HZ, ,59, ,15, ,56, ,13.1, ,53, ,11.7, ,81, ,3, ,10, , , ,29.81, , , , , ,29.91, ,AA, , , ,29.89, 
23233,20110901,942,12,OVC011, ,6, ,HZ, ,61, ,16, ,57, ,13.9, ,54, ,12, ,78, ,0, ,0, , , ,29.81, , , , , ,M, ,SP, , , ,29.89, 
