WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
23233,20111001,53,12,CLR, ,10, , , ,58, ,14.4, ,54, ,12.3, ,51, ,10.6, ,78, ,3, ,230, , , ,29.91, ,1, ,11, ,30.01, ,AA, , , ,29.99, 
23233,20111001,153,12,CLR, ,10, , , ,56, ,13.3, ,53, ,11.5, ,50, ,10, ,80, ,3, ,250, , , ,29.91, , , , , ,30.02, ,AA, , , ,29.99, 
23233,20111001,253,12,CLR, ,9, , , ,53, ,11.7, ,51, ,10.5, ,49, ,9.4, ,86, ,6, ,100, , , ,29.91, , , , , ,30.01, ,AA, , , ,29.99, 
23233,20111001,353,12,SCT040, ,10, , , ,54, ,12.2, ,51, ,10.7, ,49, ,9.4, ,83, ,9, ,110, , , ,29.91, ,1, ,2, ,30.02, ,AA, , , ,29.99, 
23233,20111001,450,12,BKN028 OVC036, ,10, , , ,54, ,12, ,52, ,11, ,50, ,10, ,86, ,6, ,150, , , ,29.93, , , , , ,M, ,SP, , , ,30.01, 
23233,20111001,453,12,BKN028 OVC036, ,10, , , ,54, ,12.2, ,52, ,11, ,50, ,10, ,86, ,6, ,140, , , ,29.93, , , , , ,30.03, ,AA, , , ,30.01, 
23233,20111001,518,12,SCT028 OVC036, ,10, , , ,54, ,12, ,51, ,10.5, ,48, ,9, ,80, ,10, ,120, , , ,29.93, , , , , ,M, ,SP, , , ,30.01, 
23233,20111001,553,12,OVC034, ,10, , , ,54, ,12.2, ,51, ,10.7, ,49, ,9.4, ,83, ,10, ,110, , , ,29.93, , , , , ,30.04, ,AA, , , ,30.01, 
23233,20111001,653,12,CLR, ,10, , , ,55, ,12.8, ,52, ,11.3, ,50, ,10, ,83, ,10, ,110, , , ,29.94, ,3, ,4, ,30.04, ,AA, , , ,30.02, 
23233,20111001,753,12,CLR, ,10, , , ,60, ,15.6, ,55, ,12.8, ,51, ,10.6, ,72, ,10, ,120, , , ,29.95, , , , , ,30.05, ,AA, , , ,30.03, 
