WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
23233,20111101,40,12,SCT007, ,6, ,BR, ,55, ,13, ,53, ,11.8, ,52, ,11, ,90, ,0, ,0, , , ,29.93, , , , , ,M, ,SP, , , ,30.01, 
23233,20111101,53,12,CLR, ,6, ,BR, ,55, ,12.8, ,53, ,11.8, ,52, ,11.1, ,90, ,0, ,0, , , ,29.92, ,0, ,2, ,30.03, ,AA, , , ,30, 
23233,20111101,140,12,SCT005, ,6, ,BR, ,54, ,12, ,53, ,11.6, ,52, ,11, ,93, ,M, ,M, , , ,29.92, , , , , ,M, ,SP, , , ,30, 
23233,20111101,149,12,BKN005, ,6, ,BR, ,54, ,12, ,52, ,11, ,50, ,10, ,86, ,0, ,0, , , ,29.92, , , , , ,M, ,SP, , , ,30, 
23233,20111101,153,12,BKN005, ,6, ,BR, ,52, ,11.1, ,51, ,10.5, ,50, ,10, ,93, ,0, ,0, , , ,29.92, , , , , ,30.02, ,AA, , , ,30, 
23233,20111101,253,12,OVC005, ,4, ,BR, ,53, ,11.7, ,51, ,10.7, ,50, ,10, ,90, ,5, ,270, , , ,29.93, , , , , ,30.03, ,AA, , , ,30.01, 
23233,20111101,308,12,OVC003, ,2.5, ,BR, ,54, ,12, ,53, ,11.6, ,52, ,11, ,93, ,0, ,0, , , ,29.92, , , , , ,M, ,SP, , , ,30, 
23233,20111101,317,12,OVC003, ,1.5, ,BR, ,54, ,12, ,53, ,11.6, ,52, ,11, ,93, ,0, ,0, , , ,29.92, , , , , ,M, ,SP, , , ,30, 
23233,20111101,334,12,VV, ,0.5, , , ,54, ,12, ,M, ,M, ,52, ,11, ,M, ,0, ,0, , , ,M, , , , , ,M, ,SP, , , ,30, 
23233,20111101,353,12,VV, ,0.5, , , ,54, ,12, ,M, ,M, ,52, ,11, ,M, ,0, ,0, , , ,M, ,8, ,1, ,30.02, ,AA, , , ,29.99, 
