WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
23233,20111201,53,12,CLR, ,10, , , ,59, ,15, ,43, ,6.3, ,21, ,-6.1, ,23, ,11, ,340, , , ,30.03, ,1, ,1, ,30.14, ,AA, , , ,30.11, 
23233,20111201,153,12,CLR, ,10, , , ,59, ,15, ,43, ,6.2, ,20, ,-6.7, ,22, ,13, ,290, ,20, ,30.03, , , , , ,30.14, ,AA, , , ,30.11, 
23233,20111201,253,12,CLR, ,10, , , ,49, ,9.4, ,38, ,3.4, ,21, ,-6.1, ,33, ,16, ,320, ,23, ,30.03, , , , , ,30.14, ,AA, , , ,30.11, 
23233,20111201,353,12,CLR, ,10, , , ,57, ,13.9, ,42, ,5.7, ,21, ,-6.1, ,25, ,15, ,320, ,21, ,30.03, ,3, ,1, ,30.14, ,AA, , , ,30.11, 
23233,20111201,453,12,CLR, ,10, , , ,56, ,13.3, ,42, ,5.5, ,21, ,-6.1, ,26, ,11, ,330, , , ,30.04, , , , , ,30.15, ,AA, , , ,30.12, 
23233,20111201,553,12,CLR, ,10, , , ,55, ,12.8, ,41, ,5, ,20, ,-6.7, ,25, ,10, ,320, ,25, ,30.05, , , , , ,30.15, ,AA, , , ,30.13, 
23233,20111201,653,12,CLR, ,10, , , ,52, ,11.1, ,40, ,4.3, ,21, ,-6.1, ,30, ,5, ,290, , , ,30.05, ,3, ,6, ,30.16, ,AA, , , ,30.13, 
23233,20111201,753,12,CLR, ,10, , , ,54, ,12.2, ,41, ,4.9, ,21, ,-6.1, ,28, ,7, ,330, , , ,30.05, , , , , ,30.15, ,AA, , , ,30.13, 
23233,20111201,853,12,CLR, ,10, , , ,59, ,15, ,43, ,6, ,19, ,-7.2, ,21, ,13, ,310, , , ,30.04, , , , , ,30.14, ,AA, , , ,30.12, 
23233,20111201,953,12,CLR, ,10, , , ,62, ,16.7, ,44, ,6.9, ,19, ,-7.2, ,19, ,15, ,300, ,22, ,30.02, ,8, ,9, ,30.13, ,AA, , , ,30.1, 
23233,20111201,1053,12,CLR, ,10, , , ,66, ,18.9, ,46, ,7.6, ,16, ,-8.9, ,14, ,15, ,330, ,22, ,29.99, , , , , ,30.09, ,AA, , , ,30.07, 
